name	population
MWF_MWF111	Alpine
MWF_MWF114	Alpine
MWF_MWF115	Alpine
OBV_BV0148	Alpine
OBV_OBV218	Alpine
OBV_OBV219	Alpine
OBV_OBV221	Alpine
OBV_OBV222	Alpine
OBV_OBV223	Alpine
OBV_OBV225	Alpine
OBV_OBV227	Alpine
OBV_OBV229	Alpine
OBV_OBV230	Alpine
OBV_OBV231	Alpine
OBV_OBV232	Alpine
OBV_OBV233	Alpine
OBV_OBV235	Alpine
OBV_OBV237	Alpine
OBV_OBV238	Alpine
OBV_OBV239	Alpine
OBV_OBV240	Alpine
OBV_OBV242	Alpine
OBV_OBV244	Alpine
OBV_OBV245	Alpine
OBV_OBV246	Alpine
OBV_OBV247	Alpine
OBV_OBV248	Alpine
OBV_OBV249	Alpine
OBV_OBV251	Alpine
OBV_OBV252	Alpine
OBV_OBV253	Alpine
OBV_OBV254	Alpine
OBV_OBV255	Alpine
OBV_OBV257	Alpine
OBV_OBV258	Alpine
OBV_OBV259	Alpine
OBV_OBV261	Alpine
OBV_OBV262	Alpine
BHB_BHB101	Busa
BHB_BHB102	Busa
BHB_BHB103	Busa
BHB_BHB104	Busa
BHB_BHB105	Busa
BHB_BHB106	Busa
BHB_BHB107	Busa
BHB_BHB108	Busa
BHB_BHB109	Busa
BHB_BHB110	Busa
BHB_BHB111	Busa
BHB_BHB112	Busa
BHB_BHB113	Busa
BHB_BHB116	Busa
BHB_BHB117	Busa
BHB_BHB118	Busa
BHB_BHB119	Busa
BHB_BHB120	Busa
DBB_DBB01	Busa
DBB_DBB02	Busa
DBB_DBB03	Busa
DBB_DBB04	Busa
DBB_DBB05	Busa
DBB_DBB06	Busa
DBB_DBB07	Busa
DBB_DBB08	Busa
DBB_DBB09	Busa
DBB_DBB10	Busa
DBB_DBB11	Busa
DBB_DBB12	Busa
DBB_DBB13	Busa
DBB_DBB14	Busa
DBB_DBB15	Busa
DBB_DBB16	Busa
DBB_DBB17	Busa
DBB_DBB18	Busa
DBB_DBB19	Busa
DBB_DBB20	Busa
DBB_DBB21	Busa
DBB_DBB22	Busa
DBB_DBB23	Busa
DBB_DBB24	Busa
DBB_DBB25	Busa
DGB_DGB01	Busa
DGB_DGB02	Busa
DGB_DGB03	Busa
DGB_DGB04	Busa
DGB_DGB05	Busa
DGB_DGB06	Busa
DGB_DGB07	Busa
DGB_DGB08	Busa
DGB_DGB09	Busa
DGB_DGB10	Busa
DGB_DGB11	Busa
DGB_DGB12	Busa
DGB_DGB13	Busa
DGB_DGB14	Busa
DGB_DGB15	Busa
DGB_DGB16	Busa
DGB_DGB17	Busa
DGB_DGB18	Busa
DGB_DGB19	Busa
DGB_DGB20	Busa
DGB_DGB21	Busa
HRB_HRB04	Busa
HRB_HRB21	Busa
HRB_HRB23	Busa
HRB_HRB25	Busa
HRB_HRB27	Busa
HRB_HRB32	Busa
HRB_HRB33	Busa
HRB_HRB41	Busa
HRB_HRB44	Busa
HRB_HRB46	Busa
HRB_HRB49	Busa
HRB_HRB50	Busa
HRB_HRB101	Busa
HRB_HRB102	Busa
HRB_HRB103	Busa
HRB_HRB105	Busa
HRB_HRB106	Busa
HRB_HRB107	Busa
HRB_HRB108	Busa
HRB_HRB109	Busa
HRB_HRB110	Busa
HRB_HRB111	Busa
HRB_HRB112	Busa
HRB_HRB116	Busa
HRB_HRB118	Busa
HRB_HRB120	Busa
HRB_HRB121	Busa
HRB_HRB122	Busa
IMB_IMB48	Busa
IMB_IMB60	Busa
IMB_IMB62	Busa
IMB_IMB66	Busa
IMB_IMB70	Busa
IMB_IMB77	Busa
IMB_IMB01	Busa
IMB_IMB02	Busa
IMB_IMB03	Busa
IMB_IMB04	Busa
